CVE_ID,Tag,iscore,,cvss
CVE-2024-22494,cookie injection,1,,5.4
CVE-2024-22942,cookie injection,1,,9.8
CVE-2024-23057,cookie injection,1,,9.8
CVE-2024-23058,cookie injection,1,,9.8
CVE-2024-23059,cookie injection,1,,9.8
CVE-2024-23060,cookie injection,1,,9.8
CVE-2024-23061,cookie injection,1,,9.8
CVE-2024-23171,xss,7,,5.4
CVE-2024-23172,directory traversal,2,,5.4
CVE-2024-23173,directory traversal,2,,6.1
CVE-2024-23174,directory traversal,2,,5.4
CVE-2024-23177,directory traversal,2,,6.1
CVE-2024-23178,directory traversal,2,,5.4
CVE-2024-23179,xss,7,,6.1
CVE-2024-23301,directory traversal,2,,5.5
